Id,first name,last name,gender,Phone,mail_id,dob,attendance,study hours,maths assignment,maths viva,physics assignment,physics viva,che assignment,che viva,Parental Involvement,Failures,t1_m,t1_p,t1_c,t2_m,t2_p,t2_c,t3_m,t3_p,t3_c,t4_m,t4_p,t4_c,t5_m(calc),t5_p(calc),t5_c(calc)
22014,Evan,Middleton,male,8302708353.0,Evan_22014@gmail.com,2004-2-9,30.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,10.0,0.0,42.0,44.0,45.0,40.0,42.0,42.0,42.0,42.0,43.0,43.0,44.0,42.0,42.0,45.0,40.0
22015,Matthew,Larsen,female,9130119606.0,Matthew_22015@gmail.com,2003-4-10,25.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,39.0,39.0,39.0,39.0,40.0,40.0,38.0,40.0,40.0,40.0,39.0,39.0,35.0,40.0,40.0
22016,Diana,Fisher,male,8009415028.0,Diana_22016@gmail.com,2003-5-5,19.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,0.0,32.0,34.0,34.0,33.0,32.0,31.0,34.0,30.0,35.0,30.0,33.0,32.0,34.0,34.0,31.0
22017,Lisa,Kaiser,female,6330499104.0,Lisa_22017@gmail.com,2004-4-11,13.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,27.0,27.0,25.0,27.0,27.0,26.0,28.0,28.0,25.0,29.0,27.0,30.0,25.0,28.0,25.0
22018,Vanessa,Collins,male,8982516690.0,Vanessa_22018@gmail.com,2003-6-17,8.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,22.0,14.0,19.0,25.0,21.0,18.0,20.0,23.0,11.0,24.0,13.0,20.0,12.0,14.0,10.0
22019,Amanda,Bell,female,6916188349.0,Amanda_22019@gmail.com,2003-10-26,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,2.0,3.0,2.0,0.0,10.0,10.0,8.0,4.0,1.0,7.0,2.0,5.0,3.0
22020,Jonathan,Cannon,male,7022669796.0,Jonathan_22020@gmail.com,2002-4-4,96.0,3.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,0.0,120.0,117.0,118.0,112.0,118.0,117.0,112.0,110.0,110.0,116.0,119.0,120.0,119.0,118.0,111.0
22021,Raven,Johnson,female,8232270194.0,Raven_22021@gmail.com,2002-3-19,91.0,3.0,10.0,10.0,10.0,9.0,10.0,9.0,6.0,0.0,105.0,108.0,109.0,107.0,105.0,109.0,109.0,108.0,109.0,106.0,106.0,108.0,106.0,107.0,108.0
22022,Steven,Moss,female,7365230145.0,Steven_22022@gmail.com,2003-10-14,88.0,5.0,9.0,8.0,8.0,8.0,8.0,8.0,6.0,0.0,102.0,105.0,104.0,103.0,105.0,104.0,105.0,104.0,102.0,101.0,103.0,101.0,102.0,103.0,105.0
22023,John,Spencer,male,9137191192.0,John_22023@gmail.com,2004-6-18,84.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,0.0,100.0,95.0,97.0,99.0,98.0,97.0,100.0,95.0,98.0,95.0,99.0,98.0,98.0,99.0,99.0
22024,Kathleen,Ortiz,male,9099111453.0,Kathleen_22024@gmail.com,2002-10-24,77.0,2.0,7.0,8.0,8.0,7.0,8.0,8.0,9.0,0.0,91.0,94.0,94.0,94.0,90.0,92.0,90.0,90.0,92.0,91.0,91.0,94.0,93.0,94.0,93.0
22025,Johnny,Barnes,male,9004807732.0,Johnny_22025@gmail.com,2002-8-26,72.0,5.0,7.0,8.0,7.0,7.0,7.0,8.0,9.0,0.0,88.0,86.0,85.0,90.0,90.0,85.0,87.0,86.0,88.0,89.0,88.0,88.0,89.0,90.0,90.0
22026,Stephanie,Bowers,male,9182746805.0,Stephanie_22026@gmail.com,2003-5-20,68.0,4.0,7.0,6.0,7.0,7.0,7.0,7.0,10.0,0.0,82.0,80.0,82.0,82.0,80.0,84.0,85.0,82.0,81.0,84.0,84.0,81.0,53.0,75.0,78.0
22027,Joshua,West,female,9305900364.0,Joshua_22027@gmail.com,2003-8-18,62.0,3.0,6.0,6.0,6.0,7.0,6.0,6.0,4.0,0.0,76.0,77.0,77.0,80.0,75.0,75.0,76.0,80.0,78.0,76.0,76.0,80.0,79.0,75.0,80.0
22028,Jerry,Camacho,female,6929975367.0,Jerry_22028@gmail.com,2003-4-24,55.0,8.0,5.0,6.0,5.0,5.0,5.0,6.0,10.0,0.0,70.0,70.0,73.0,71.0,75.0,70.0,70.0,75.0,72.0,72.0,73.0,72.0,70.0,71.0,72.0
22029,Julie,Klein,male,8147358143.0,Julie_22029@gmail.com,2004-8-7,50.0,1.0,5.0,6.0,6.0,6.0,5.0,6.0,9.0,0.0,68.0,70.0,65.0,67.0,66.0,68.0,67.0,68.0,65.0,70.0,68.0,66.0,66.0,68.0,65.0
22030,Jessica,Sharp,male,9085960363.0,Jessica_22030@gmail.com,2002-6-17,48.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,10.0,0.0,60.0,61.0,64.0,64.0,62.0,60.0,62.0,63.0,64.0,64.0,63.0,60.0,64.0,62.0,61.0
22031,Daisy,Kane,female,7010857241.0,Daisy_22031@gmail.com,2003-7-9,44.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,10.0,0.0,55.0,56.0,58.0,58.0,58.0,55.0,57.0,58.0,59.0,56.0,58.0,56.0,57.0,60.0,59.0
22032,Lisa,Gonzalez,female,8568119190.0,Lisa_22032@gmail.com,2004-8-28,37.0,7.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,53.0,50.0,53.0,52.0,54.0,51.0,52.0,53.0,52.0,54.0,50.0,55.0,55.0,52.0,51.0
22033,Kendra,Smith,female,8225616174.0,Kendra_22033@gmail.com,2003-12-23,34.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,7.0,0.0,48.0,48.0,49.0,47.0,49.0,48.0,46.0,47.0,48.0,50.0,48.0,49.0,45.0,47.0,49.0
22034,Lindsey,Pope,female,7790806725.0,Lindsey_22034@gmail.com,2004-5-18,26.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,6.0,0.0,45.0,41.0,42.0,42.0,41.0,45.0,44.0,44.0,41.0,45.0,43.0,44.0,44.0,42.0,42.0
22035,Sheila,Sherman,female,8377172168.0,Sheila_22035@gmail.com,2002-9-28,21.0,7.0,3.0,2.0,3.0,2.0,3.0,2.0,10.0,0.0,40.0,37.0,37.0,35.0,40.0,40.0,39.0,36.0,40.0,39.0,39.0,39.0,38.0,40.0,39.0
22036,Angela,Edwards,female,6925921157.0,Angela_22036@gmail.com,2002-3-2,15.0,7.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,33.0,31.0,33.0,30.0,34.0,34.0,33.0,34.0,32.0,32.0,32.0,32.0,33.0,34.0,33.0
22037,Emily,Kirby,female,7704580929.0,Emily_22037@gmail.com,2004-12-13,13.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,0.0,25.0,30.0,30.0,29.0,25.0,30.0,28.0,26.0,29.0,25.0,30.0,30.0,30.0,30.0,30.0
22038,Steven,Ward,female,8229035918.0,Steven_22038@gmail.com,2002-12-26,6.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,24.0,20.0,22.0,10.0,23.0,25.0,23.0,14.0,18.0,13.0,25.0,22.0,14.0,16.0,21.0
22039,Erica,Sandoval,female,6565435873.0,Erica_22039@gmail.com,2004-6-1,2.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,9.0,1.0,4.0,0.0,0.0,10.0,1.0,10.0,2.0,4.0,4.0,2.0,5.0,10.0
22040,Allison,Jacobson,female,7591152055.0,Allison_22040@gmail.com,2002-6-10,96.0,5.0,9.0,9.0,10.0,9.0,10.0,10.0,7.0,0.0,115.0,112.0,110.0,116.0,118.0,110.0,112.0,112.0,117.0,110.0,112.0,112.0,111.0,114.0,116.0
22041,Crystal,Cain,male,7862158497.0,Crystal_22041@gmail.com,2003-1-18,90.0,0.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,0.0,110.0,105.0,109.0,109.0,110.0,110.0,107.0,106.0,105.0,105.0,110.0,107.0,106.0,110.0,109.0
22042,Matthew,Reid,male,8797702995.0,Matthew_22042@gmail.com,2002-5-10,88.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,0.0,104.0,105.0,105.0,105.0,103.0,104.0,104.0,101.0,104.0,100.0,101.0,104.0,101.0,103.0,100.0
22043,Sarah,Sims,female,7460964959.0,Sarah_22043@gmail.com,2003-8-12,84.0,3.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,0.0,97.0,95.0,98.0,97.0,98.0,95.0,97.0,95.0,98.0,95.0,98.0,96.0,97.0,98.0,98.0
22044,Kelly,Williams,female,8992214523.0,Kelly_22044@gmail.com,2003-12-21,78.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,0.0,90.0,91.0,95.0,94.0,92.0,90.0,94.0,93.0,94.0,90.0,90.0,91.0,91.0,93.0,92.0
22045,Jacqueline,Cox,female,6310777243.0,Jacqueline_22045@gmail.com,2003-1-9,70.0,3.0,7.0,7.0,8.0,8.0,7.0,7.0,10.0,0.0,86.0,89.0,87.0,88.0,87.0,89.0,88.0,90.0,89.0,86.0,85.0,89.0,87.0,90.0,88.0
22046,Matthew,Hoffman,male,6405474534.0,Matthew_22046@gmail.com,2002-7-2,65.0,1.0,6.0,6.0,6.0,6.0,7.0,7.0,9.0,0.0,81.0,80.0,82.0,82.0,84.0,83.0,84.0,82.0,83.0,82.0,85.0,84.0,80.0,78.0,55.0
22047,Robert,Garcia,male,6745149240.0,Robert_22047@gmail.com,2003-11-14,62.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,3.0,0.0,75.0,79.0,75.0,80.0,76.0,77.0,80.0,79.0,75.0,78.0,75.0,76.0,75.0,80.0,76.0
22048,Kurt,Rivera,male,8182751001.0,Kurt_22048@gmail.com,2004-3-10,60.0,8.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,0.0,73.0,70.0,71.0,71.0,74.0,71.0,74.0,72.0,74.0,73.0,74.0,70.0,72.0,75.0,70.0
22049,Sarah,Shaw,female,7609936617.0,Sarah_22049@gmail.com,2002-5-27,55.0,8.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,0.0,68.0,69.0,66.0,69.0,66.0,65.0,68.0,70.0,66.0,68.0,65.0,70.0,67.0,66.0,70.0
22050,Patricia,Walter,female,8059153871.0,Patricia_22050@gmail.com,2003-12-3,48.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,0.0,60.0,61.0,63.0,65.0,64.0,61.0,65.0,62.0,61.0,62.0,62.0,64.0,62.0,65.0,65.0
22051,Carol,Guerrero,male,9353713525.0,Carol_22051@gmail.com,2003-11-23,42.0,1.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,0.0,56.0,56.0,60.0,60.0,58.0,60.0,55.0,60.0,56.0,60.0,57.0,58.0,57.0,56.0,60.0
22052,Philip,Holder,female,8345772036.0,Philip_22052@gmail.com,2002-10-1,36.0,6.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,0.0,53.0,52.0,53.0,51.0,53.0,55.0,53.0,52.0,54.0,51.0,55.0,53.0,50.0,51.0,55.0
22053,James,Heath,female,7389590690.0,James_22053@gmail.com,2004-3-1,34.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,0.0,46.0,46.0,45.0,48.0,47.0,48.0,49.0,45.0,46.0,46.0,48.0,48.0,50.0,45.0,48.0
22054,Taylor,Blankenship,female,6452243030.0,Taylor_22054@gmail.com,2003-7-14,30.0,8.0,3.0,3.0,3.0,2.0,3.0,3.0,9.0,0.0,45.0,42.0,40.0,43.0,40.0,44.0,45.0,41.0,41.0,44.0,44.0,42.0,44.0,45.0,44.0
22055,Lori,Santos,female,8806597090.0,Lori_22055@gmail.com,2004-7-19,22.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,8.0,0.0,40.0,35.0,39.0,40.0,40.0,36.0,40.0,37.0,40.0,40.0,39.0,39.0,35.0,38.0,36.0
22056,Samantha,Price,male,6655555102.0,Samantha_22056@gmail.com,2002-8-15,15.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,0.0,34.0,30.0,32.0,32.0,35.0,35.0,34.0,34.0,31.0,35.0,34.0,35.0,33.0,35.0,32.0
22057,Whitney,Landry,male,6283360290.0,Whitney_22057@gmail.com,2003-10-20,15.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,26.0,28.0,29.0,25.0,25.0,25.0,30.0,30.0,28.0,25.0,27.0,26.0,27.0,28.0,27.0
22058,Diane,Jones,male,8262935219.0,Diane_22058@gmail.com,2003-8-1,8.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,15.0,17.0,11.0,18.0,13.0,17.0,20.0,18.0,11.0,20.0,11.0,18.0,21.0,23.0,14.0
22059,Christopher,Ellis,female,6863457344.0,Christopher_22059@gmail.com,2003-10-5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,6.0,1.0,5.0,3.0,7.0,7.0,3.0,6.0,5.0,1.0,4.0,1.0,5.0,0.0
22060,Christie,Mason,female,8758286347.0,Christie_22060@gmail.com,2002-9-5,97.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,0.0,110.0,114.0,119.0,118.0,112.0,118.0,119.0,119.0,118.0,117.0,114.0,115.0,120.0,113.0,119.0
22061,Jack,Holmes,female,9228051857.0,Jack_22061@gmail.com,2002-10-24,92.0,3.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,0.0,109.0,109.0,109.0,105.0,109.0,107.0,106.0,109.0,105.0,105.0,109.0,107.0,106.0,110.0,109.0
22062,Olivia,Roberts,male,7300079966.0,Olivia_22062@gmail.com,2003-11-1,90.0,0.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,0.0,102.0,100.0,105.0,101.0,102.0,101.0,103.0,102.0,100.0,105.0,103.0,105.0,100.0,103.0,102.0
22063,Joanna,Ruiz,female,6418290562.0,Joanna_22063@gmail.com,2004-6-18,81.0,6.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,0.0,99.0,97.0,98.0,96.0,99.0,98.0,97.0,100.0,96.0,96.0,97.0,98.0,96.0,97.0,95.0
22064,Carol,Jensen,male,7154446754.0,Carol_22064@gmail.com,2002-6-21,78.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,3.0,0.0,92.0,94.0,91.0,90.0,94.0,92.0,91.0,94.0,90.0,90.0,91.0,94.0,90.0,90.0,93.0
22065,Joanna,Smith,female,8382931209.0,Joanna_22065@gmail.com,2002-11-20,70.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,0.0,89.0,86.0,90.0,85.0,87.0,87.0,87.0,90.0,89.0,85.0,90.0,87.0,87.0,86.0,85.0
22066,Larry,Clark,female,8501309709.0,Larry_22066@gmail.com,2004-10-23,68.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0,5.0,0.0,84.0,84.0,81.0,81.0,80.0,82.0,82.0,83.0,85.0,82.0,84.0,85.0,82.0,65.0,72.0
22067,Robert,Baldwin,female,8153879448.0,Robert_22067@gmail.com,2002-2-9,60.0,1.0,6.0,6.0,6.0,6.0,7.0,7.0,10.0,0.0,78.0,75.0,76.0,80.0,79.0,78.0,77.0,76.0,76.0,76.0,78.0,76.0,75.0,80.0,75.0
22068,James,Brock,female,7030878737.0,James_22068@gmail.com,2002-11-2,57.0,4.0,6.0,5.0,5.0,6.0,6.0,6.0,8.0,0.0,72.0,70.0,74.0,72.0,70.0,70.0,74.0,75.0,74.0,73.0,73.0,73.0,74.0,73.0,72.0
22069,Shelby,Williams,female,6527381478.0,Shelby_22069@gmail.com,2004-8-7,52.0,8.0,6.0,5.0,6.0,5.0,6.0,6.0,3.0,0.0,67.0,69.0,68.0,68.0,66.0,65.0,70.0,67.0,67.0,67.0,68.0,70.0,70.0,68.0,67.0
22070,Amy,Perry,male,6442578582.0,Amy_22070@gmail.com,2004-2-21,48.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,63.0,62.0,65.0,61.0,65.0,64.0,61.0,64.0,61.0,60.0,60.0,65.0,61.0,63.0,63.0
22071,Molly,Roberson,female,8975532583.0,Molly_22071@gmail.com,2003-11-28,43.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,10.0,0.0,57.0,55.0,55.0,55.0,55.0,55.0,60.0,56.0,56.0,55.0,59.0,59.0,59.0,59.0,57.0
22072,Adam,Kelly,male,9034365510.0,Adam_22072@gmail.com,2002-3-11,40.0,8.0,3.0,3.0,4.0,3.0,3.0,4.0,9.0,0.0,53.0,53.0,54.0,53.0,52.0,55.0,51.0,54.0,51.0,54.0,55.0,50.0,54.0,54.0,54.0
22073,Fernando,Wilson,female,7745036721.0,Fernando_22073@gmail.com,2003-2-10,30.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,7.0,0.0,50.0,49.0,50.0,46.0,49.0,47.0,48.0,46.0,50.0,47.0,50.0,48.0,48.0,49.0,50.0
22074,Stephanie,Howe,female,9142646145.0,Stephanie_22074@gmail.com,2002-11-8,27.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,7.0,0.0,43.0,45.0,40.0,44.0,44.0,43.0,43.0,43.0,42.0,44.0,43.0,41.0,43.0,42.0,41.0
22075,Ryan,Wright,female,7398385002.0,Ryan_22075@gmail.com,2004-3-12,23.0,7.0,3.0,2.0,2.0,3.0,3.0,3.0,7.0,0.0,37.0,40.0,39.0,38.0,35.0,37.0,38.0,37.0,35.0,36.0,35.0,40.0,35.0,35.0,40.0
22076,Andrew,Greene,male,7872658143.0,Andrew_22076@gmail.com,2003-2-4,16.0,7.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,0.0,31.0,33.0,33.0,35.0,34.0,32.0,30.0,35.0,31.0,35.0,33.0,35.0,33.0,30.0,31.0
22077,David,Hall,female,6601046243.0,David_22077@gmail.com,2004-7-17,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,29.0,30.0,28.0,28.0,28.0,30.0,25.0,25.0,25.0,27.0,29.0,29.0,27.0,29.0,26.0
22078,Kenneth,Gardner,male,8321638749.0,Kenneth_22078@gmail.com,2004-9-14,8.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,24.0,16.0,10.0,19.0,25.0,24.0,14.0,24.0,16.0,13.0,15.0,18.0,14.0,23.0,21.0
22079,Anna,Donovan,female,8917309990.0,Anna_22079@gmail.com,2003-4-21,2.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,8.0,2.0,2.0,3.0,3.0,10.0,0.0,3.0,9.0,1.0,8.0,9.0,2.0,3.0,9.0
22080,Laura,Robertson,female,7880364869.0,Laura_22080@gmail.com,2004-5-19,98.0,6.0,10.0,9.0,10.0,9.0,10.0,9.0,5.0,0.0,120.0,111.0,113.0,118.0,119.0,110.0,111.0,118.0,111.0,115.0,114.0,119.0,111.0,118.0,114.0
22081,Elizabeth,Perez,male,8933211432.0,Elizabeth_22081@gmail.com,2003-6-1,95.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,0.0,105.0,106.0,110.0,108.0,107.0,107.0,110.0,110.0,105.0,109.0,105.0,106.0,110.0,105.0,110.0
22082,Wendy,Lambert,male,7774592118.0,Wendy_22082@gmail.com,2003-1-12,86.0,0.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,0.0,101.0,103.0,101.0,101.0,100.0,103.0,104.0,102.0,100.0,103.0,105.0,100.0,100.0,101.0,104.0
22083,Janice,Flores,female,8730191487.0,Janice_22083@gmail.com,2002-8-25,80.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,0.0,99.0,100.0,98.0,98.0,99.0,100.0,95.0,100.0,95.0,98.0,95.0,97.0,97.0,98.0,100.0
22084,Anthony,Ward,female,8363546524.0,Anthony_22084@gmail.com,2002-6-3,75.0,5.0,8.0,8.0,8.0,7.0,8.0,7.0,2.0,0.0,90.0,93.0,91.0,94.0,91.0,94.0,91.0,91.0,92.0,95.0,90.0,90.0,92.0,93.0,95.0
22085,Dawn,Nichols,male,7486715428.0,Dawn_22085@gmail.com,2003-8-5,70.0,3.0,7.0,8.0,8.0,7.0,7.0,7.0,1.0,0.0,86.0,86.0,85.0,87.0,88.0,89.0,88.0,87.0,85.0,88.0,88.0,89.0,85.0,89.0,89.0
22086,Carolyn,Gilbert,female,7728359370.0,Carolyn_22086@gmail.com,2004-4-28,67.0,4.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,0.0,83.0,83.0,82.0,82.0,84.0,83.0,81.0,82.0,80.0,83.0,83.0,82.0,69.0,64.0,69.0
22087,Stephanie,Johnson,female,6681571896.0,Stephanie_22087@gmail.com,2003-1-8,61.0,4.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,0.0,80.0,75.0,80.0,77.0,76.0,75.0,79.0,77.0,75.0,76.0,78.0,75.0,77.0,77.0,79.0
22088,Kimberly,Wallace,female,7392034401.0,Kimberly_22088@gmail.com,2004-11-22,57.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,0.0,72.0,74.0,75.0,73.0,73.0,74.0,71.0,75.0,70.0,73.0,70.0,71.0,71.0,75.0,73.0
22089,Timothy,Crawford,female,7139762037.0,Timothy_22089@gmail.com,2002-10-22,50.0,4.0,6.0,5.0,5.0,5.0,6.0,6.0,8.0,0.0,69.0,66.0,66.0,69.0,65.0,65.0,65.0,70.0,70.0,68.0,68.0,69.0,66.0,70.0,68.0
22090,Whitney,Jones,male,7475454733.0,Whitney_22090@gmail.com,2004-6-16,45.0,7.0,5.0,5.0,4.0,4.0,5.0,4.0,10.0,0.0,63.0,60.0,65.0,62.0,63.0,61.0,60.0,63.0,65.0,63.0,60.0,61.0,64.0,65.0,61.0
22091,Pamela,Nelson,female,8159396707.0,Pamela_22091@gmail.com,2004-12-3,40.0,7.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,0.0,57.0,59.0,57.0,56.0,55.0,57.0,56.0,58.0,60.0,58.0,60.0,57.0,55.0,58.0,56.0
22092,Kelly,Larsen,female,7172331046.0,Kelly_22092@gmail.com,2002-2-18,35.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,0.0,53.0,51.0,54.0,52.0,55.0,50.0,53.0,52.0,52.0,52.0,51.0,53.0,53.0,53.0,55.0
22093,Jacob,Sanchez,male,8153743128.0,Jacob_22093@gmail.com,2002-6-17,32.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,7.0,0.0,48.0,50.0,49.0,48.0,49.0,46.0,48.0,45.0,47.0,45.0,46.0,50.0,48.0,48.0,46.0
22094,Philip,Brandt,male,8629125446.0,Philip_22094@gmail.com,2003-4-12,29.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,0.0,44.0,41.0,44.0,41.0,41.0,44.0,41.0,44.0,43.0,40.0,40.0,43.0,40.0,40.0,44.0
22095,Shannon,Frye,male,8078844003.0,Shannon_22095@gmail.com,2002-10-8,23.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,8.0,0.0,39.0,39.0,36.0,37.0,37.0,36.0,40.0,35.0,39.0,36.0,40.0,35.0,36.0,36.0,36.0
